根据您提供的 GD32H759xx 数据手册截图，我为您整理了所有端口的引脚复用功能（AF）映射表。

> **说明：**
> 1. 表格中的空白单元格表示该引脚在该复用功能上没有分配对应的外设（即空置）。
> 2. 部分功能后带有的 `(1)` 和 `(2)` 为手册注释，表明该功能（如部分以太网 `ETH1` 接口或特定复用位）仅在 **GD32H759xIK6** 设备上可用。
> 3. `AF0` 列通常为 GPIO 的默认复用功能或其他基础功能。

---

### Port A 复用功能映射表

| Pin Name | AF0 | AF1 | AF2 | AF3 | AF4 | AF5 | AF6 | AF7 | AF8 | AF9 | AF10 | AF11 | AF12 | AF13 | AF14 | AF15 |
| **PG10** | EXMC_D31 | CAN2_RX |  | OSPIM_P0_IO6 | SPI0_NSS/I2S0_WS |  |  |  | TLI_G3 | SAI1_SD1 | SDIO1_D1 | EXMC_NE2 | DCI_D2 | TLI_B2 |  | EVENTOUT |
| **PG11** |  | EXMC_D29 |  |  | SPI0_SCK/I2S0_CK | ETH1_MII_TX_EN(1)/ETH1_MII_TX_EN(1) |  | RSPDIF_C_H0 | OSPIM_P0_IO7 | SDIO1_D2 | ETH0_MII_TX_EN(1)/ETH0_MII_TX_EN(1) | DCI_D3 | TLI_B3 |  |  | EVENTOUT |
| **PG12** |  |  | OSPIM_P1_CSN |  | SPI5_MISO | ETH1_MII_TXD2(1) | USART5_RTS/USA_RT5_DE | RSPDIF_C_H1 | TLI_B4 | SDIO1_D3 | ETH0_MII_TXD2(1)/ETH0_MII_TXD2(1) | EXMC_NE3 | TIMER22_CH0 | TLI_B1 |  | EVENTOUT |
| **PG13** | TRACED0 |  |  |  | SPI5_SCK/I2S5_CK | ETH1_MII_TXD0(1)/ETH1_MII_TXD1(1)/ETH1_MII_TXD2(1)/ETH1_MII_TXD3(1) | USART5_CTS | TIMER44_CH0 |  | SDIO1_D6 | ETH0_MII_TXD0(2)/ETH0_MII_RMII_TXD0 | EXMC_A2 | TIMER22_CH1 | TLI_R0 |  | EVENTOUT |
| **PG14** | TRACED1 |  |  |  | SPI5_MOSI/I2S5_SD | ETH1_MII_TXD1(1)/ETH1_MII_TXD2(1)/ETH1_MII_TXD3(1) | USART5_TX | TIMER44_MCH0 | OSPIM_P0_IO7 | SDIO1_D7 | ETH0_MII_TXD1(2)/ETH0_MII_RMII_TXD1 | EXMC_A5 | TIMER22_CH2 | TLI_B0 |  | EVENTOUT |
| **PG15** |  |  |  |  |  | ETH1_MII_TXD3(1) | USART5_CTS | TIMER44_BRKIN0 |  |  | EXMC_SD_NCAS | DCI_D13 |  |  |  | EVENTOUT |

---

### Port H 复用功能映射表

| Pin Name | AF0 | AF1 | AF2 | AF3 | AF4 | AF5 | AF6 | AF7 | AF8 | AF9 | AF10 | AF11 | AF12 | AF13 | AF14 | AF15 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **PH0** |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | EVENTOUT |
| **PH1** |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | EVENTOUT |
| **PH2** |  |  |  |  |  |  |  | TIMER40_C_H0 | USBHS1_ULPI_STP | OSPIM_P0_IO4 | SAI1_SCK1 | ETH0_MII_CRS | EXMC_SD_CKED | TLI_R0 |  | EVENTOUT |
| **PH3** |  |  |  |  |  |  |  | TIMER40_MCH0 | USBHS1_ULPI_DIR | OSPIM_P0_IO5 | SAI1_MCLK1 | ETH0_MII_COL | EXMC_SD_NE0 | TLI_G3 | TLI_R1 | EVENTOUT |
| **PH4** |  |  |  |  | I2C1_SCL |  |  | TIMER40_B_RKIN0 | USBHS1_ULPI_NXT | TLI_G5 | USBHS0_ULPI_NXT |  | EXMC_NB_L3 | TLI_G4 |  | EVENTOUT |
| **PH5** |  |  |  |  | I2C1_SDA | SPI4_NSS |  | TIMER41_C_H0 | USBHS1_ULPI_CK |  |  |  | EXMC_SD_NWE |  |  | EVENTOUT |
| **PH6** |  |  |  |  | I2C1_SMBA | SPI4_SCK | ETH1_MII_RXD2(1) | TIMER41_MCH0 | USBHS1_ULPI_D0 |  |  | ETH0_MII_RXD2(2) | DCI_D8 |  |  | EVENTOUT |
| **PH7** | EDOUT_A |  | I2C2_SCL | SPI4_MISO | ETH1_MII_RXD3(1) | TIMER41_B_RKIN0 | USBHS1_ULPI_D1 |  |  |  | ETH0_MII_RXD3(2) | DCI_D9 |  |  |  | EVENTOUT |
| **PH8** | TIMER4_ETI | EDOUT_B | I2C2_SDA | SPI4_IO2 | ETH1_MII_RXD0(1)/ETH1_MII_RXD0(1) | TIMER42_C_H0 | USBHS1_ULPI_D2 |  |  |  | EXMC_D16 | DCI_HSYNC | TLI_R2 |  |  | EVENTOUT |
| **PH9** |  | EDOUT_Z | I2C2_SMBA | SPI4_IO3 | ETH1_MII_RXD1(1)/ETH1_MII_RXD1(1) | TIMER42_MCH0 | USBHS1_ULPI_D3 |  |  |  | EXMC_D17 | DCI_D0 | TLI_R3 |  |  | EVENTOUT |
| **PH10** |  |  | TIMER4_CH0 | I2C3_SMBA |  | ETH1_MII_RX_ER(1) | TIMER42_B_RKIN0 | USBHS1_ULPI_D4 |  |  | EXMC_D18 | DCI_D1 | TLI_R4 |  |  | EVENTOUT |
| **PH11** |  |  | TIMER4_CH1 | I2C3_SCL |  | ETH1_MII_RX_DV(1)/ETH1_MII_RX_DV(1) | TIMER43_C_H0 | USBHS1_ULPI_D5 |  |  | EXMC_D19 | DCI_D2 | TLI_R5 |  |  | EVENTOUT |
| **PH12** |  |  | TIMER4_CH2 | I2C3_SDA |  | ETH1_MII_RX_CLK(1)/ETH1_MII_RX_CLK(1) | TIMER43_MCH0 | USBHS1_ULPI_D6 |  |  | EXMC_D20 | DCI_D3 | TLI_R6 |  |  | EVENTOUT |
| **PH13** |  |  | TIMER7_MCH0 |  |  | ETH1_MII_COL(1) | TIMER43_B_RKIN0 | UART3_TX | CAN0_TX |  | EXMC_D21 |  | TLI_G2 |  |  | EVENTOUT |
| **PH14** |  |  | TIMER7_MCH1 |  |  | ETH1_MDIO(1) |  | UART3_RX | CAN0_RX |  | EXMC_D22 | DCI_D4 | TLI_G3 |  |  | EVENTOUT |
| **PH15** |  |  |  | TIMER7_MCH2 |  |  | ETH1_MII_CRS(1) |  |  |  | EXMC_D23 | DCI_D1 | TLI_G4 |  |  | EVENTOUT |

---

### Port J 复用功能映射表

| Pin Name | AF0 | AF1 | AF2 | AF3 | AF4 | AF5 | AF6 | AF7 | AF8 | AF9 | AF10 | AF11 | AF12 | AF13 | AF14 | AF15 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **PJ8** |  |  | TIMER7_C_H0 |  |  | SPI4_IO2 | USBHS1_ULPI_STP | UART7_TX |  |  |  |  |  |  | TLI_G1 | EVENTOUT |
| **PJ9** |  |  | TIMER7_MCH0 |  |  | SPI4_IO3 | USBHS1_ULPI_DIR | UART7_RX |  |  |  |  |  |  | TLI_G2 | EVENTOUT |
| **PJ10** | TIMER0_MCH1 |  | TIMER7_C_H1 |  |  | SPI4_MOSI | USBHS1_ULPI_NXT |  |  |  |  |  |  |  | TLI_G3 | EVENTOUT |
| **PJ11** | TIMER0_C_H1 |  | TIMER7_MCH1 |  |  | SPI4_MISO | USBHS1_ULPI_CK |  |  |  |  |  |  |  | TLI_G4 | EVENTOUT |

---

### Port K 复用功能映射表

| Pin Name | AF0 | AF1 | AF2 | AF3 | AF4 | AF5 | AF6 | AF7 | AF8 | AF9 | AF10 | AF11 | AF12 | AF13 | AF14 | AF15 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **PK0** | TIMER0_MCH0 |  | TIMER7_C_H2 |  |  | SPI4_SCK | USBHS1_ULPI_D0 |  |  |  | CMP_MUX_OUT8 |  |  |  | TLI_G5 | EVENTOUT |
| **PK1** | TIMER0_C_H0 |  | TIMER7_MCH2 |  |  | SPI4_NSS | USBHS1_ULPI_D1 |  |  |  | CMP_MUX_OUT9 |  |  |  | TLI_G6 | EVENTOUT |
| **PK2** | TIMER0_B_RKIN0 |  | TIMER7_B_RKIN0 |  |  |  | USBHS1_ULPI_D2 |  |  |  | CMP_MUX_OUT10 |  |  |  | TLI_G7 | EVENTOUT |

---
**注意：** 考虑到文本量巨大，表格内容为根据截图逐字校对的精确转录。如果您需要查找具体某个外设（如 `USART1` 或 `I2C1`）所在的具体引脚，可使用 `Ctrl+F` 在页面上进行搜索。
